"codigo";"descricao";"descricao_breve"
"C56";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C57";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C58";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C59";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C60";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C61";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C62";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C63";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C64";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C65";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C66";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C67";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C68";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
